OnsetTemperature,TemperatureStep,TimeMean,TimeStandardDeviation,ECL,FCL,ECN
60.0,2.0,79.72466666666666,0.028241026106632382,,,10
60.0,3.0,15.142000000000001,0.016872067646458055,8.0,0.0,8
60.0,3.0,21.226,0.02004993765576418,10.0,0.0,10
60.0,3.0,24.23766666666667,0.018263503375737133,11.0,0.0,11
60.0,3.0,27.15433333333333,0.02298308556791802,12.0,0.0,12
60.0,3.0,29.947999999999997,0.023252240035460635,13.0,0.0,13
60.0,3.0,32.62433333333333,0.02503774927761974,14.0,0.0,14
60.0,3.0,34.284,0.02325224003545936,14.652213780455854,0.6522137804558543,12
60.0,3.0,35.169000000000004,0.02465765601187684,15.0,0.0,15
60.0,3.0,36.784666666666666,0.020531818125913103,15.66017433941705,0.6601743394170505,13
60.0,3.0,37.61633333333334,0.030466739606041054,16.0,0.0,16
